COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.037	0.045
0.045	0.050
0.030	0.030
0.044	0.044
0.059	0.049
0.065	0.067
0.052	0.050
0.042	0.046
0.050	0.048
0.038	0.041
0.051	0.050
0.062	0.063
0.046	0.045
0.042	0.037
0.040	0.038
0.055	0.050
0.054	0.054
0.038	0.039
0.051	0.043
0.053	0.051
0.061	0.060
0.064	0.063
0.068	0.062
0.043	0.046
0.056	0.054
0.044	0.040
0.024	0.026
0.031	0.033
0.033	0.040
0.028	0.024
0.024	0.023
0.033	0.028
0.023	0.026
0.029	0.030
0.023	0.029
0.025	0.033
0.022	0.018
0.020	0.020
0.034	0.030
0.019	0.019
0.032	0.031
0.045	0.039
0.025	0.025
0.043	0.041
0.027	0.033
0.033	0.032
0.019	0.019
0.031	0.034
0.044	0.044
0.036	0.041
0.019	0.024
0.047	0.041
0.051	0.049
0.050	0.049
0.036	0.035
0.051	0.049
0.039	0.034
0.042	0.040
0.038	0.035
0.038	0.029
0.032	0.030
0.048	0.046
0.056	0.049
0.035	0.036
0.059	0.060
0.054	0.047
0.054	0.050
0.045	0.048
0.054	0.050
0.052	0.052
0.047	0.043
0.053	0.060
0.050	0.047
0.062	0.060
0.053	0.048
0.060	0.059
0.051	0.048
0.049	0.047
0.040	0.040
0.046	0.042
0.051	0.057
0.046	0.046
0.054	0.052
0.039	0.038
0.023	0.024
0.056	0.055
0.039	0.040
0.047	0.045
0.021	0.022
0.046	0.051
0.043	0.044
0.050	0.051
0.035	0.036
0.047	0.047
0.053	0.055
0.058	0.058
0.036	0.037
0.055	0.052
0.057	0.060
0.043	0.044
0.045	0.048
0.056	0.058
0.042	0.048
0.045	0.052
0.043	0.042
0.052	0.053
0.049	0.047
0.047	0.043
0.042	0.043
0.036	0.036
0.024	0.021
0.057	0.055
0.038	0.035
0.023	0.024
0.045	0.044
0.050	0.044
0.061	0.054
0.043	0.048
0.050	0.051
0.044	0.047
0.046	0.047
0.039	0.045
0.048	0.049
0.048	0.044
0.040	0.043
0.059	0.060
0.054	0.058
0.052	0.054
0.042	0.043
0.040	0.044
0.054	0.052
0.043	0.045
0.049	0.049
0.021	0.031
0.054	0.058
0.026	0.037
0.058	0.062
0.045	0.047
0.065	0.060
0.045	0.054
0.049	0.051
0.033	0.042
0.037	0.034
0.038	0.040
0.030	0.032
0.057	0.061
0.067	0.066
0.050	0.058
0.049	0.056
0.052	0.055
0.034	0.039
0.047	0.050
0.040	0.037
0.055	0.054
0.055	0.055
0.011	0.015
0.057	0.060
0.062	0.060
0.056	0.051
0.060	0.059
0.041	0.037
0.031	0.025
0.033	0.026
0.051	0.047
0.020	0.019
0.038	0.030
0.050	0.039
0.044	0.043
0.036	0.032
0.042	0.042
0.029	0.024
0.049	0.043
0.034	0.030
0.052	0.048
0.051	0.064
0.040	0.043
0.053	0.056
0.046	0.045
0.041	0.043
0.039	0.041
0.046	0.043
0.044	0.042
0.039	0.040
0.054	0.057
0.052	0.049
0.035	0.040
0.057	0.063
0.034	0.037
0.051	0.056
0.034	0.036
0.032	0.032
0.018	0.020
0.044	0.043
0.061	0.063
0.032	0.030
0.066	0.066
0.056	0.050
0.051	0.049
0.053	0.046
0.067	0.065
0.040	0.041
0.061	0.064
0.043	0.044
0.050	0.050
0.055	0.039
0.044	0.037
0.051	0.049
0.062	0.049
0.059	0.037
0.043	0.031
0.047	0.038
0.048	0.037
0.043	0.017
0.067	0.049
0.056	0.037
0.052	0.038
0.032	0.027
0.062	0.066
0.051	0.040
0.048	0.044
0.040	0.037
0.052	0.049
0.038	0.032
0.040	0.037
0.047	0.047
0.045	0.045
0.051	0.047
0.056	0.052
0.053	0.043
0.059	0.056
0.047	0.040
0.057	0.053
0.051	0.050
0.047	0.049
0.041	0.041
0.047	0.045
0.062	0.063
0.055	0.053
0.039	0.035
0.049	0.051
0.040	0.042
0.057	0.053
0.039	0.043
0.053	0.053
0.029	0.032
0.030	0.031
0.034	0.030
0.026	0.024
0.047	0.044
0.028	0.031
0.050	0.045
0.044	0.040
0.027	0.028
0.050	0.045
0.055	0.052
0.031	0.029
0.044	0.046
0.033	0.031
0.035	0.038
0.044	0.049
0.033	0.034
0.042	0.044
0.033	0.035
0.021	0.024
0.051	0.056
0.044	0.047
-0.019	-0.018
0.035	0.034
0.020	0.022
0.041	0.048
0.033	0.036
0.041	0.045
0.033	0.034
0.041	0.042
0.041	0.036
0.050	0.053
0.017	0.019
0.040	0.044
0.045	0.049
0.047	0.044
0.031	0.031
0.023	0.029
0.054	0.051
0.038	0.039
0.042	0.043
-0.026	-0.028
0.041	0.043
0.020	0.022
0.059	0.056
0.018	0.014
0.046	0.038
0.004	0.006
0.043	0.037
-0.017	-0.012
0.046	0.053
0.026	0.032
0.046	0.047
0.044	0.049
0.041	0.048
0.040	0.042
0.046	0.050
0.030	0.031
0.046	0.044
0.052	0.052
0.040	0.043
0.053	0.051
0.054	0.058
0.043	0.043
0.055	0.051
0.059	0.049
0.063	0.055
0.035	0.032
0.029	0.022
0.048	0.042
0.047	0.049
0.041	0.038
0.046	0.057
0.041	0.042
0.055	0.049
0.041	0.042
0.053	0.049
0.047	0.044
0.035	0.029
0.039	0.041
-0.020	-0.019
0.055	0.053
0.045	0.046
0.041	0.040
0.044	0.041
0.043	0.043
0.056	0.056
0.033	0.034
0.040	0.039
-0.017	-0.017
0.044	0.041
0.032	0.028
0.059	0.054
0.045	0.044
0.047	0.047
0.039	0.036
0.057	0.057
-0.017	-0.019
0.051	0.054
0.057	0.056
0.062	0.053
0.046	0.043
0.055	0.057
0.034	0.030
0.066	0.066
-0.014	-0.015
-0.014	-0.013
0.031	0.041
0.042	0.043
0.068	0.061
0.026	0.026
0.054	0.056
0.041	0.039
0.041	0.037
0.061	0.057
0.039	0.052
0.055	0.058
0.043	0.042
0.059	0.052
-0.039	-0.038
-0.014	0.032
-0.032	-0.016
-0.039	-0.023
-0.036	0.004
-0.036	-0.023
-0.026	0.026
-0.029	0.026
-0.036	-0.001
-0.038	-0.025
-0.036	0.014
-0.029	0.015
-0.014	0.028
0.065	0.058
0.032	0.035
0.043	0.046
0.049	0.048
0.052	0.061
0.062	0.060
0.063	0.064
0.059	0.059
0.051	0.055
0.052	0.055
0.021	0.023
0.031	0.030
0.042	0.040
0.055	0.054
-0.028	-0.027
0.030	0.037
0.049	0.046
0.045	0.044
0.052	0.051
0.052	0.054
0.051	0.054
0.064	0.062
0.050	0.050
0.047	0.049
-0.016	-0.015
-0.025	-0.025
0.033	0.032
-0.041	-0.040
-0.011	-0.010
0.033	0.031
-0.015	-0.017
-0.019	-0.018
-0.014	-0.012
-0.009	-0.011
0.043	0.041
0.045	0.044
-0.019	-0.020
-0.017	-0.016
-0.014	-0.016
-0.014	-0.015
-0.013	-0.013
-0.034	-0.033
0.022	0.021
-0.014	-0.018
-0.013	-0.018
0.035	0.034
-0.010	-0.010
-0.018	-0.016
-0.016	-0.015
-0.017	-0.018
-0.019	-0.019
0.056	0.047
0.046	0.052
0.044	0.047
-0.014	-0.013
0.030	0.033
0.056	0.061
0.051	0.052
0.061	0.050
0.035	0.046
-0.025	-0.021
0.024	0.025
0.020	0.023
0.027	0.030
-0.034	-0.032
-0.027	-0.029
0.046	0.052
0.044	0.043
0.048	0.053
0.038	0.040
0.040	0.042
0.058	0.060
-0.011	-0.011
0.042	0.043
0.057	0.060
0.040	0.037
0.035	0.037
0.014	0.014
0.024	0.024
0.035	0.034
-0.039	-0.040
0.038	0.035
-0.019	-0.021
-0.014	-0.015
0.053	0.049
0.043	0.041
0.021	0.016
0.049	0.048
