COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.040	0.040
0.037	0.037
0.033	0.034
0.053	0.053
0.031	0.031
0.029	0.035
0.037	0.028
0.053	0.052
0.028	0.031
0.037	0.045
0.041	0.042
0.051	0.050
0.036	0.037
0.044	0.043
0.047	0.051
0.050	0.050
0.028	0.028
0.025	0.022
0.051	0.051
0.035	0.037
0.017	0.019
0.043	0.045
0.042	0.046
0.060	0.060
0.035	0.039
0.040	0.044
0.034	0.033
0.039	0.039
0.039	0.044
0.025	0.027
0.044	0.045
0.027	0.028
0.029	0.032
0.045	0.048
0.046	0.053
0.025	0.025
0.048	0.052
0.041	0.043
0.049	0.047
0.057	0.048
0.063	0.064
0.043	0.044
0.031	0.029
0.049	0.044
0.050	0.052
0.038	0.038
0.060	0.052
0.038	0.038
0.020	0.020
0.029	0.033
0.051	0.055
0.033	0.033
0.039	0.038
0.044	0.043
0.040	0.034
0.043	0.044
0.045	0.045
0.043	0.046
0.053	0.056
0.046	0.046
0.036	0.039
0.042	0.043
0.023	0.027
0.019	0.018
0.015	0.016
0.032	0.035
0.047	0.048
0.043	0.044
0.047	0.042
0.044	0.037
0.037	0.037
0.031	0.029
0.037	0.034
0.049	0.054
0.045	0.042
0.041	0.037
0.035	0.040
0.034	0.034
0.049	0.044
0.037	0.035
0.037	0.039
0.048	0.046
0.048	0.044
0.051	0.050
0.054	0.049
0.054	0.052
0.038	0.039
0.026	0.026
0.040	0.039
0.041	0.041
0.031	0.030
0.046	0.042
0.057	0.058
0.054	0.052
0.028	0.030
0.052	0.054
0.061	0.063
0.027	0.031
0.059	0.047
0.023	0.025
0.041	0.049
0.053	0.044
0.048	0.059
0.036	0.035
0.027	0.031
0.038	0.039
0.033	0.063
0.050	0.050
0.037	0.037
0.028	0.023
0.066	0.058
0.030	0.030
0.020	0.025
0.042	0.040
0.034	0.028
0.037	0.036
0.026	0.024
0.059	0.037
0.037	0.045
0.045	0.050
0.030	0.030
0.045	0.045
0.068	0.054
0.065	0.067
0.055	0.052
0.042	0.046
0.052	0.050
0.036	0.041
0.055	0.052
0.062	0.063
0.046	0.045
0.042	0.037
0.040	0.038
0.054	0.049
0.057	0.056
0.042	0.042
0.049	0.042
0.053	0.051
0.063	0.062
0.065	0.063
0.068	0.062
0.038	0.039
0.053	0.051
0.047	0.044
0.026	0.029
0.032	0.034
0.033	0.040
0.028	0.022
0.028	0.027
0.033	0.029
0.023	0.027
0.029	0.030
0.023	0.029
0.032	0.030
0.023	0.021
0.021	0.021
0.033	0.030
0.033	0.031
0.032	0.031
0.042	0.033
0.025	0.025
0.041	0.041
0.032	0.037
0.038	0.032
0.026	0.025
0.029	0.033
0.044	0.044
0.039	0.037
0.028	0.026
0.047	0.041
0.044	0.043
0.050	0.049
0.034	0.033
0.051	0.049
0.042	0.037
0.044	0.042
0.039	0.036
0.034	0.028
0.031	0.029
0.048	0.046
0.056	0.049
0.038	0.038
0.059	0.060
0.054	0.049
0.052	0.048
0.045	0.048
0.050	0.048
0.053	0.052
0.047	0.043
0.053	0.062
0.046	0.046
0.061	0.059
0.051	0.049
0.062	0.061
0.050	0.044
0.052	0.049
0.044	0.044
0.045	0.042
0.052	0.061
0.049	0.051
0.057	0.055
0.041	0.039
0.024	0.024
0.061	0.060
0.040	0.043
0.052	0.050
0.026	0.029
0.046	0.051
0.043	0.045
0.051	0.054
0.036	0.036
0.047	0.047
0.053	0.055
0.060	0.060
0.037	0.039
0.055	0.053
0.057	0.060
0.047	0.049
0.045	0.049
0.056	0.058
0.047	0.042
0.039	0.044
0.048	0.046
0.052	0.051
0.050	0.050
0.048	0.043
0.043	0.045
0.037	0.037
0.024	0.023
0.057	0.055
0.038	0.035
0.034	0.031
0.045	0.045
0.050	0.044
0.053	0.052
0.049	0.051
0.049	0.051
0.045	0.049
0.046	0.047
0.038	0.044
0.049	0.050
0.045	0.041
0.042	0.046
0.058	0.059
0.054	0.059
0.054	0.056
0.042	0.044
0.042	0.044
0.052	0.051
0.046	0.049
0.048	0.048
0.038	0.049
0.054	0.058
0.026	0.037
0.058	0.062
0.044	0.045
0.065	0.061
0.046	0.057
0.047	0.049
0.033	0.042
0.046	0.043
0.046	0.048
0.031	0.033
0.057	0.061
0.067	0.066
0.042	0.045
0.048	0.054
0.064	0.057
0.033	0.036
0.047	0.050
0.036	0.035
0.055	0.054
0.055	0.055
0.012	0.017
0.057	0.060
0.062	0.060
0.057	0.052
0.060	0.059
0.041	0.037
0.033	0.026
0.038	0.028
0.054	0.048
0.021	0.019
0.038	0.031
0.050	0.041
0.050	0.048
0.037	0.033
0.042	0.042
0.040	0.035
0.051	0.043
0.037	0.033
0.051	0.048
0.051	0.064
0.042	0.045
0.057	0.053
0.048	0.046
0.041	0.043
0.051	0.047
0.044	0.047
0.047	0.043
0.039	0.040
0.054	0.057
0.052	0.050
0.035	0.040
0.057	0.063
0.035	0.035
0.051	0.056
0.029	0.030
0.026	0.028
0.018	0.020
0.043	0.041
0.061	0.063
0.030	0.030
0.067	0.068
0.054	0.050
0.049	0.047
0.053	0.046
0.063	0.061
0.041	0.041
0.062	0.067
0.042	0.043
0.050	0.050
0.052	0.038
0.048	0.039
0.051	0.049
0.062	0.049
0.058	0.036
0.043	0.031
0.047	0.038
0.042	0.033
0.043	0.017
0.067	0.049
0.063	0.039
0.053	0.039
0.032	0.027
0.062	0.066
0.049	0.039
0.050	0.050
0.039	0.037
0.050	0.047
0.038	0.032
0.039	0.037
0.048	0.047
0.045	0.045
0.051	0.047
0.056	0.052
0.053	0.044
0.059	0.056
0.047	0.040
0.057	0.053
0.051	0.050
0.050	0.048
0.041	0.041
0.049	0.046
0.062	0.063
0.055	0.053
0.042	0.037
0.049	0.048
0.042	0.044
0.057	0.053
0.039	0.043
0.052	0.053
0.029	0.030
0.041	0.042
0.032	0.030
0.026	0.023
0.048	0.044
0.028	0.031
0.050	0.046
0.044	0.041
0.035	0.035
0.050	0.046
0.055	0.052
0.032	0.030
0.044	0.046
0.040	0.037
-0.016	-0.016
0.046	0.052
0.032	0.033
0.043	0.045
-0.014	-0.015
0.021	0.024
0.051	0.056
0.043	0.045
-0.016	-0.016
0.034	0.034
0.015	0.018
0.037	0.044
0.026	0.026
0.031	0.034
0.033	0.034
0.040	0.043
0.042	0.037
0.050	0.053
0.017	0.019
0.045	0.055
0.044	0.047
0.047	0.044
0.042	0.043
-0.023	-0.019
0.055	0.051
0.040	0.043
0.043	0.044
0.023	0.024
0.044	0.047
0.021	0.024
0.058	0.053
0.034	0.028
0.044	0.038
0.001	0.003
0.040	0.040
0.048	0.054
0.046	0.053
0.029	0.035
0.049	0.052
0.044	0.049
0.050	0.055
0.046	0.048
0.046	0.050
0.039	0.039
0.046	0.044
0.051	0.052
0.040	0.043
0.048	0.045
0.054	0.058
0.044	0.044
0.055	0.051
0.059	0.049
0.063	0.055
0.038	0.034
0.028	0.024
0.048	0.042
0.049	0.051
0.041	0.039
0.047	0.061
0.041	0.042
0.049	0.041
0.041	0.042
0.053	0.049
0.048	0.044
0.039	0.033
0.037	0.038
-0.019	-0.018
0.055	0.053
0.045	0.046
0.041	0.040
0.043	0.040
0.043	0.043
0.056	0.056
0.033	0.034
0.049	0.049
-0.019	-0.019
0.045	0.042
0.032	0.028
0.059	0.054
0.045	0.045
0.055	0.052
0.039	0.038
0.057	0.057
0.049	0.046
0.053	0.056
0.057	0.056
0.062	0.053
0.045	0.044
0.055	0.057
0.031	0.029
0.066	0.066
0.050	0.044
-0.013	-0.012
0.031	0.041
0.044	0.046
0.068	0.061
0.025	0.025
0.054	0.055
0.044	0.041
0.041	0.037
0.060	0.055
0.039	0.052
0.056	0.056
0.056	0.041
0.058	0.055
0.043	0.060
-0.014	0.032
-0.033	-0.017
-0.039	-0.022
-0.028	0.015
-0.036	-0.023
-0.039	-0.025
-0.036	-0.019
-0.036	0.000
-0.038	-0.023
-0.038	0.013
-0.032	0.012
-0.011	0.036
0.065	0.058
0.037	0.039
0.043	0.048
0.046	0.048
0.052	0.061
0.062	0.060
0.068	0.070
0.059	0.058
0.051	0.055
0.049	0.052
0.023	0.024
0.040	0.037
0.039	0.038
0.059	0.058
-0.023	-0.022
0.039	0.047
0.047	0.047
0.045	0.045
-0.010	-0.011
0.052	0.054
0.052	0.055
0.062	0.060
0.052	0.051
0.049	0.051
-0.015	-0.014
0.067	0.067
0.035	0.035
-0.019	-0.019
-0.009	-0.009
0.032	0.030
-0.013	-0.015
-0.015	-0.015
-0.015	-0.014
-0.009	-0.011
0.042	0.041
0.045	0.044
-0.016	-0.017
-0.014	-0.013
0.040	0.031
0.041	0.031
-0.010	-0.010
0.052	0.053
0.024	0.024
-0.013	-0.018
-0.015	-0.020
0.039	0.039
0.044	0.046
-0.018	-0.016
-0.016	-0.015
0.035	0.033
-0.018	-0.018
0.053	0.054
0.046	0.052
0.043	0.043
0.044	0.048
0.033	0.036
0.056	0.060
0.051	0.052
0.061	0.050
0.037	0.048
0.024	0.028
-0.022	-0.023
0.019	0.022
0.029	0.031
0.025	0.028
-0.026	-0.029
0.042	0.047
0.042	0.042
0.049	0.051
0.038	0.041
0.044	0.048
0.058	0.060
-0.011	-0.011
0.050	0.054
0.057	0.060
0.040	0.037
0.035	0.038
0.015	0.015
0.024	0.026
0.035	0.034
-0.017	-0.017
0.038	0.035
0.040	0.039
-0.012	-0.013
0.056	0.050
0.043	0.041
0.022	0.018
0.049	0.048
