COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.048	0.043
0.047	0.038
0.036	0.036
0.027	0.028
0.039	0.037
0.050	0.051
0.046	0.045
0.040	0.035
0.036	0.043
0.035	0.036
0.050	0.043
0.038	0.036
0.030	0.031
0.044	0.041
0.050	0.049
0.047	0.047
0.055	0.050
0.054	0.053
0.038	0.039
0.033	0.030
0.044	0.041
0.039	0.039
0.037	0.036
0.044	0.041
0.057	0.057
0.053	0.051
0.034	0.036
0.058	0.063
0.063	0.068
0.031	0.034
0.059	0.047
0.015	0.017
0.041	0.049
0.053	0.048
0.068	0.044
0.041	0.041
0.030	0.029
0.034	0.037
0.029	0.032
0.050	0.050
0.036	0.037
0.028	0.026
0.044	0.046
0.026	0.027
0.016	0.020
0.033	0.033
0.013	0.012
0.040	0.040
0.031	0.032
0.030	0.037
0.037	0.045
0.046	0.048
0.029	0.028
0.047	0.047
0.059	0.049
0.068	0.064
0.054	0.055
0.038	0.042
0.049	0.054
0.039	0.042
0.055	0.052
0.058	0.058
0.046	0.045
0.043	0.040
0.042	0.039
0.055	0.050
0.054	0.057
0.041	0.042
0.047	0.039
0.053	0.052
0.063	0.063
0.065	0.063
0.068	0.062
0.042	0.045
0.055	0.052
0.050	0.048
0.033	0.031
0.031	0.033
0.035	0.042
0.028	0.022
0.025	0.025
0.033	0.029
0.025	0.024
0.028	0.030
0.028	0.027
0.036	0.029
0.025	0.024
0.021	0.021
0.034	0.030
0.033	0.032
0.035	0.035
0.030	0.024
0.029	0.025
0.040	0.041
0.031	0.035
0.035	0.030
0.027	0.024
0.030	0.034
0.044	0.042
0.037	0.040
0.028	0.025
0.046	0.040
0.051	0.048
0.050	0.048
0.037	0.034
0.051	0.049
0.044	0.039
0.044	0.042
0.038	0.035
0.039	0.032
0.032	0.030
0.047	0.049
0.058	0.051
0.034	0.034
0.055	0.060
0.053	0.048
0.058	0.054
0.047	0.049
0.052	0.050
0.056	0.056
0.046	0.043
0.053	0.062
0.049	0.048
0.069	0.063
0.053	0.051
0.060	0.060
0.049	0.047
0.051	0.047
0.044	0.043
0.044	0.040
0.051	0.057
0.047	0.048
0.054	0.052
0.047	0.047
0.026	0.027
0.060	0.058
0.037	0.038
0.052	0.051
0.029	0.032
0.047	0.051
0.038	0.038
0.052	0.055
0.033	0.034
0.046	0.047
0.053	0.053
0.053	0.054
0.033	0.032
0.055	0.053
0.059	0.066
0.047	0.053
0.045	0.049
0.056	0.057
0.044	0.040
0.036	0.041
0.048	0.047
0.051	0.051
0.051	0.050
0.049	0.044
0.045	0.047
0.037	0.038
0.023	0.020
0.057	0.055
0.036	0.034
0.027	0.028
0.045	0.045
0.050	0.044
0.061	0.056
0.042	0.048
0.048	0.050
0.043	0.046
0.046	0.047
0.030	0.033
0.048	0.047
0.044	0.041
0.041	0.045
0.058	0.060
0.054	0.060
0.051	0.054
0.047	0.050
0.042	0.045
0.054	0.051
0.043	0.043
0.052	0.051
0.039	0.043
0.059	0.058
0.028	0.037
0.060	0.061
0.045	0.047
0.065	0.061
0.046	0.059
0.049	0.051
0.034	0.041
0.049	0.047
0.048	0.049
0.041	0.042
0.057	0.061
0.067	0.066
0.042	0.045
0.047	0.054
0.063	0.056
0.037	0.042
0.047	0.050
0.038	0.038
0.053	0.052
0.055	0.055
0.015	0.016
0.061	0.061
0.062	0.060
0.058	0.054
0.060	0.059
0.042	0.037
0.029	0.024
0.035	0.027
0.053	0.048
0.019	0.016
0.040	0.035
0.050	0.041
0.049	0.047
0.037	0.034
0.054	0.057
0.038	0.032
0.051	0.043
0.042	0.038
0.052	0.049
0.051	0.064
0.040	0.041
0.052	0.052
0.051	0.049
0.041	0.043
0.050	0.046
0.049	0.050
0.047	0.043
0.048	0.046
0.050	0.054
0.052	0.050
0.035	0.041
0.057	0.061
0.034	0.040
0.052	0.052
0.032	0.033
0.030	0.032
0.019	0.021
0.037	0.036
0.061	0.063
0.039	0.039
0.065	0.076
0.052	0.049
0.048	0.047
0.056	0.047
0.063	0.062
0.041	0.042
0.063	0.063
0.044	0.043
0.050	0.049
0.052	0.038
0.047	0.038
0.051	0.049
0.061	0.049
0.061	0.038
0.044	0.032
0.043	0.034
0.044	0.034
0.055	0.022
0.067	0.049
0.064	0.038
0.055	0.039
0.033	0.028
0.062	0.068
0.048	0.040
0.050	0.050
0.042	0.039
0.047	0.047
0.048	0.043
0.040	0.039
0.041	0.043
0.046	0.046
0.047	0.043
0.055	0.052
0.055	0.045
0.059	0.056
0.047	0.037
0.054	0.054
0.053	0.052
0.047	0.047
0.041	0.041
0.048	0.046
0.062	0.063
0.053	0.051
0.040	0.036
0.045	0.046
0.040	0.043
0.058	0.054
0.036	0.039
0.053	0.054
0.029	0.032
0.041	0.042
0.028	0.027
0.020	0.019
0.046	0.045
0.029	0.033
0.051	0.046
0.044	0.041
0.036	0.035
0.049	0.045
0.051	0.048
0.030	0.028
0.035	0.037
0.032	0.032
0.038	0.043
0.045	0.051
0.032	0.034
0.043	0.043
0.036	0.037
0.021	0.024
0.050	0.054
0.042	0.045
0.036	0.037
0.035	0.035
0.018	0.021
0.039	0.044
0.030	0.030
0.045	0.052
0.032	0.034
0.039	0.041
0.045	0.040
0.049	0.053
0.027	0.026
0.045	0.055
0.044	0.046
0.047	0.045
0.049	0.049
0.027	0.030
0.055	0.052
0.028	0.031
0.054	0.053
0.031	0.035
0.038	0.038
0.021	0.024
0.065	0.057
0.030	0.026
0.043	0.038
0.004	0.006
0.040	0.040
0.042	0.044
0.045	0.049
0.030	0.035
0.048	0.051
0.044	0.048
0.049	0.055
0.041	0.043
0.047	0.050
0.032	0.032
0.047	0.044
0.052	0.053
0.037	0.046
0.043	0.039
0.048	0.052
0.033	0.031
0.055	0.051
0.059	0.049
0.062	0.054
0.038	0.034
0.031	0.025
0.049	0.043
0.050	0.053
0.026	0.023
0.047	0.057
0.045	0.048
0.045	0.040
0.041	0.041
0.053	0.049
0.046	0.043
0.039	0.034
0.034	0.036
0.033	0.036
0.048	0.047
0.048	0.047
0.045	0.044
0.037	0.035
0.043	0.043
0.054	0.054
0.032	0.034
0.049	0.046
0.039	0.041
0.045	0.041
0.031	0.027
0.058	0.053
0.046	0.045
0.055	0.052
0.041	0.038
0.057	0.056
0.049	0.046
0.049	0.053
0.063	0.058
0.060	0.053
0.048	0.044
0.055	0.057
0.032	0.030
0.067	0.063
0.047	0.042
0.043	0.044
0.031	0.041
0.040	0.040
0.068	0.061
0.026	0.028
0.060	0.055
0.042	0.040
0.041	0.037
0.069	0.057
0.037	0.034
0.057	0.057
0.043	0.042
0.058	0.055
0.042	0.058
-0.014	0.032
-0.023	0.026
-0.037	0.014
-0.035	0.009
-0.036	0.014
-0.026	0.028
-0.028	0.026
-0.040	-0.001
-0.038	0.008
-0.038	0.014
-0.033	0.011
-0.011	0.032
0.061	0.057
0.031	0.035
0.043	0.048
0.045	0.049
0.051	0.060
0.063	0.062
0.068	0.070
0.059	0.059
0.051	0.055
0.053	0.056
0.034	0.038
0.036	0.035
0.044	0.041
0.058	0.058
0.020	0.023
0.035	0.042
0.045	0.044
0.045	0.044
0.052	0.051
0.052	0.053
0.053	0.059
0.063	0.070
0.044	0.060
0.036	0.034
0.048	0.058
0.068	0.067
0.035	0.035
0.035	0.038
0.042	0.045
0.034	0.032
0.037	0.033
0.029	0.032
0.036	0.038
0.038	0.035
0.040	0.040
0.047	0.046
0.035	0.037
0.029	0.028
0.038	0.029
0.041	0.032
0.047	0.045
0.052	0.053
0.021	0.020
0.044	0.038
0.034	0.032
0.035	0.035
0.045	0.039
0.029	0.035
0.030	0.033
0.037	0.035
0.032	0.030
0.051	0.047
0.047	0.051
0.045	0.045
0.051	0.055
0.036	0.038
0.056	0.062
0.052	0.052
0.058	0.056
0.039	0.053
0.014	0.018
0.036	0.034
0.020	0.024
0.027	0.030
0.022	0.027
0.024	0.025
0.039	0.044
0.042	0.041
0.050	0.053
0.041	0.041
0.045	0.049
0.058	0.060
0.048	0.046
0.044	0.049
0.056	0.059
0.036	0.033
0.035	0.037
0.019	0.018
0.026	0.026
0.036	0.035
0.053	0.050
0.038	0.038
0.042	0.042
0.057	0.060
0.057	0.053
0.043	0.041
0.023	0.018
0.046	0.048
