COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.056	0.066
0.051	0.051
0.031	0.031
0.032	0.034
0.025	0.025
0.028	0.033
0.043	0.043
0.032	0.029
0.038	0.039
0.033	0.033
0.030	0.028
0.045	0.042
0.055	0.055
0.049	0.040
0.031	0.037
0.016	0.017
0.037	0.036
0.023	0.024
0.032	0.032
0.014	0.012
0.011	0.012
0.021	0.020
0.038	0.033
0.040	0.034
0.021	0.017
0.030	0.027
0.029	0.019
0.020	0.021
0.044	0.046
0.051	0.050
0.048	0.040
0.053	0.052
0.038	0.039
0.053	0.053
0.052	0.058
0.055	0.054
0.045	0.048
0.034	0.039
0.028	0.030
0.044	0.042
0.034	0.034
0.053	0.053
0.040	0.040
0.035	0.039
0.046	0.043
0.054	0.055
0.032	0.032
0.036	0.044
0.042	0.043
0.047	0.047
0.036	0.037
0.044	0.046
0.046	0.050
0.049	0.050
0.032	0.030
0.024	0.022
0.050	0.050
0.037	0.041
0.026	0.028
0.043	0.045
0.042	0.045
0.060	0.060
0.036	0.040
0.032	0.033
0.044	0.044
0.036	0.036
0.041	0.046
0.025	0.028
0.043	0.044
0.023	0.022
0.032	0.034
0.045	0.047
0.045	0.048
0.024	0.024
0.047	0.052
0.034	0.036
0.050	0.047
0.052	0.048
0.062	0.064
0.042	0.042
0.036	0.035
0.048	0.044
0.048	0.051
0.039	0.039
0.059	0.052
0.039	0.039
0.016	0.016
0.026	0.029
0.047	0.051
0.025	0.026
0.035	0.035
0.042	0.043
0.039	0.033
0.042	0.045
0.044	0.045
0.045	0.047
0.051	0.054
0.035	0.036
0.042	0.044
0.040	0.043
0.019	0.021
0.005	0.006
0.010	0.011
0.023	0.025
0.048	0.048
0.042	0.043
0.044	0.041
0.046	0.039
0.036	0.036
0.036	0.035
0.033	0.030
0.051	0.050
0.045	0.043
0.042	0.037
0.036	0.041
0.035	0.035
0.048	0.041
0.038	0.037
0.038	0.040
0.047	0.045
0.047	0.044
0.047	0.047
0.055	0.050
0.054	0.053
0.038	0.040
0.033	0.032
0.043	0.042
0.040	0.041
0.031	0.030
0.046	0.042
0.058	0.060
0.055	0.052
0.035	0.037
0.062	0.065
0.063	0.066
0.028	0.030
0.059	0.047
0.020	0.022
0.041	0.049
0.053	0.044
0.072	0.045
0.039	0.039
0.030	0.031
0.035	0.036
0.033	0.040
0.044	0.043
0.036	0.036
0.030	0.026
0.057	0.066
0.034	0.034
0.018	0.022
0.042	0.040
0.010	0.010
0.036	0.034
0.034	0.047
0.052	0.036
0.037	0.045
0.048	0.050
0.032	0.030
0.043	0.045
0.068	0.054
0.071	0.063
0.055	0.054
0.042	0.045
0.055	0.052
0.041	0.040
0.054	0.051
0.055	0.056
0.046	0.046
0.034	0.033
0.044	0.041
0.055	0.052
0.053	0.056
0.040	0.041
0.050	0.042
0.058	0.055
0.061	0.060
0.063	0.063
0.063	0.058
0.044	0.048
0.056	0.053
0.044	0.042
0.019	0.022
0.031	0.033
0.033	0.040
0.026	0.020
0.027	0.026
0.030	0.026
0.031	0.033
0.027	0.027
0.027	0.033
0.022	0.028
0.024	0.020
0.015	0.015
0.034	0.030
0.026	0.025
0.031	0.030
0.031	0.027
0.023	0.022
0.041	0.040
0.030	0.035
0.033	0.029
0.025	0.025
0.030	0.033
0.044	0.041
0.038	0.038
0.023	0.021
0.046	0.040
0.043	0.041
0.050	0.048
0.043	0.040
0.052	0.041
0.044	0.039
0.042	0.040
0.037	0.034
0.037	0.029
0.033	0.030
0.046	0.046
0.054	0.048
0.033	0.033
0.055	0.063
0.054	0.047
0.055	0.052
0.047	0.049
0.048	0.049
0.053	0.054
0.046	0.042
0.053	0.062
0.050	0.047
0.067	0.063
0.054	0.049
0.060	0.061
0.048	0.046
0.046	0.047
0.043	0.042
0.046	0.043
0.053	0.053
0.049	0.052
0.057	0.055
0.039	0.039
0.022	0.022
0.055	0.055
0.034	0.034
0.048	0.046
0.025	0.026
0.048	0.053
0.042	0.044
0.050	0.051
0.031	0.033
0.041	0.041
0.053	0.053
0.061	0.059
0.033	0.030
0.055	0.053
0.057	0.060
0.047	0.048
0.045	0.049
0.054	0.056
0.043	0.045
0.039	0.044
0.045	0.045
0.053	0.052
0.050	0.051
0.047	0.043
0.045	0.047
0.036	0.036
0.024	0.020
0.057	0.055
0.039	0.036
0.024	0.025
0.042	0.044
0.050	0.045
0.061	0.054
0.041	0.048
0.048	0.051
0.043	0.046
0.046	0.047
0.038	0.045
0.051	0.051
0.044	0.041
0.041	0.045
0.058	0.060
0.053	0.057
0.052	0.054
0.048	0.049
0.040	0.043
0.052	0.048
0.045	0.046
0.049	0.049
0.042	0.039
0.057	0.057
0.025	0.035
0.058	0.061
0.052	0.056
0.065	0.061
0.045	0.056
0.052	0.052
0.034	0.041
0.043	0.039
0.044	0.046
0.036	0.035
0.057	0.061
0.067	0.066
0.049	0.062
0.049	0.057
0.053	0.055
0.035	0.040
0.047	0.049
0.037	0.034
0.052	0.052
0.051	0.050
0.018	0.018
0.057	0.061
0.062	0.060
0.060	0.055
0.060	0.059
0.041	0.037
0.031	0.026
0.032	0.026
0.052	0.047
0.021	0.020
0.039	0.032
0.047	0.039
0.049	0.048
0.036	0.035
0.045	0.047
0.040	0.035
0.049	0.046
0.038	0.035
0.052	0.050
0.051	0.064
0.042	0.042
0.052	0.055
0.048	0.048
0.041	0.043
0.048	0.046
0.043	0.046
0.047	0.043
0.039	0.040
0.056	0.057
0.055	0.053
0.034	0.040
0.057	0.061
0.030	0.035
0.051	0.056
0.030	0.029
0.031	0.033
0.019	0.021
0.040	0.039
0.061	0.063
0.031	0.029
0.067	0.068
0.052	0.049
0.050	0.048
0.054	0.047
0.058	0.056
0.041	0.041
0.062	0.067
0.045	0.045
0.051	0.049
0.052	0.037
0.047	0.037
0.053	0.050
0.061	0.048
0.061	0.038
0.044	0.031
0.048	0.039
0.039	0.030
0.043	0.017
0.067	0.048
0.059	0.037
0.055	0.040
0.033	0.027
0.062	0.066
0.051	0.040
0.050	0.050
0.043	0.040
0.047	0.047
0.048	0.042
0.041	0.039
0.047	0.047
0.058	0.064
0.061	0.054
0.053	0.054
0.053	0.043
0.059	0.056
0.047	0.040
0.057	0.053
0.053	0.052
0.047	0.049
0.039	0.039
0.048	0.045
0.049	0.048
0.056	0.053
0.040	0.036
0.049	0.048
0.039	0.041
0.056	0.053
0.037	0.040
0.054	0.055
0.029	0.032
0.039	0.040
0.029	0.028
0.025	0.022
0.047	0.044
0.031	0.036
0.051	0.046
0.043	0.040
0.026	0.027
0.051	0.044
0.060	0.060
0.030	0.028
0.046	0.047
0.034	0.036
0.036	0.040
0.044	0.051
0.034	0.036
0.043	0.044
0.035	0.037
0.020	0.024
0.049	0.054
0.042	0.045
0.037	0.038
0.035	0.034
0.018	0.020
0.043	0.050
0.027	0.028
0.050	0.056
0.028	0.030
0.041	0.043
0.033	0.029
0.048	0.050
0.018	0.018
0.044	0.051
0.045	0.045
0.048	0.047
0.049	0.050
0.033	0.037
0.053	0.049
0.029	0.032
0.042	0.044
0.031	0.031
0.047	0.048
0.021	0.023
0.067	0.058
0.027	0.026
0.046	0.039
0.002	0.004
0.040	0.035
0.035	0.039
0.040	0.044
0.025	0.030
0.046	0.047
0.038	0.043
0.041	0.048
0.043	0.044
0.045	0.049
0.025	0.026
0.043	0.044
0.054	0.054
0.046	0.047
0.045	0.043
0.056	0.060
0.046	0.043
0.055	0.051
0.059	0.049
0.062	0.054
0.033	0.030
0.036	0.028
0.048	0.041
0.049	0.053
0.042	0.038
0.047	0.057
0.044	0.044
0.045	0.040
0.035	0.028
0.056	0.050
0.048	0.045
0.039	0.033
0.037	0.038
0.031	0.029
0.055	0.053
0.047	0.047
0.048	0.046
0.046	0.042
0.049	0.049
0.055	0.055
0.033	0.033
0.048	0.045
0.037	0.036
0.043	0.039
0.034	0.028
0.057	0.052
0.047	0.045
0.046	0.046
0.040	0.037
0.048	0.049
0.057	0.053
0.052	0.054
0.059	0.059
0.062	0.053
0.048	0.044
0.055	0.057
0.036	0.032
0.065	0.064
0.047	0.043
0.047	0.048
0.036	0.045
0.033	0.037
0.068	0.061
0.027	0.028
0.056	0.055
0.049	0.044
0.041	0.037
0.069	0.057
0.039	0.052
0.054	0.058
0.043	0.042
0.058	0.054
0.042	0.057
-0.014	0.032
-0.020	0.033
-0.036	0.017
-0.032	0.014
-0.035	0.014
-0.027	0.028
-0.026	0.028
-0.036	0.009
-0.037	0.009
-0.035	0.018
-0.030	0.016
-0.011	0.036
0.061	0.057
0.032	0.035
0.043	0.044
0.046	0.048
0.053	0.060
0.063	0.060
0.063	0.064
0.059	0.058
0.049	0.054
0.052	0.056
0.033	0.034
0.040	0.038
0.038	0.036
0.055	0.053
0.020	0.024
0.039	0.048
0.052	0.051
0.039	0.039
0.053	0.054
0.051	0.054
0.052	0.056
0.061	0.062
0.044	0.053
0.049	0.051
0.047	0.049
0.066	0.067
0.033	0.032
0.036	0.041
0.041	0.046
0.037	0.035
0.040	0.034
0.025	0.029
0.032	0.033
0.032	0.030
0.040	0.039
0.046	0.045
0.039	0.044
0.031	0.031
0.036	0.030
0.043	0.034
0.028	0.029
0.052	0.052
0.023	0.022
0.046	0.040
0.033	0.032
0.035	0.034
0.046	0.040
0.029	0.035
0.026	0.029
0.037	0.035
0.032	0.030
0.053	0.047
0.047	0.051
0.049	0.050
0.044	0.048
0.037	0.039
0.056	0.060
0.051	0.051
0.061	0.051
0.036	0.048
0.023	0.026
0.027	0.028
0.026	0.030
0.032	0.034
0.023	0.028
0.025	0.027
0.040	0.043
0.045	0.044
0.049	0.052
0.042	0.045
0.042	0.045
0.057	0.059
0.054	0.054
0.048	0.049
0.062	0.061
0.031	0.030
0.035	0.037
0.024	0.022
0.016	0.017
0.036	0.035
0.055	0.053
0.039	0.037
0.041	0.042
0.056	0.058
0.055	0.051
0.044	0.042
0.022	0.017
0.048	0.047
