COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.029	0.026
0.019	0.019
0.015	0.017
0.027	0.027
0.022	0.025
0.036	0.033
0.038	0.035
0.043	0.038
0.030	0.030
0.029	0.030
0.023	0.020
0.038	0.038
0.030	0.028
0.032	0.037
0.046	0.043
0.038	0.040
0.034	0.034
0.038	0.038
0.033	0.034
0.030	0.028
0.040	0.039
0.030	0.033
0.041	0.041
0.038	0.037
0.041	0.038
0.021	0.023
0.044	0.040
0.043	0.041
0.045	0.044
0.051	0.049
0.051	0.046
0.055	0.060
0.056	0.052
0.056	0.052
0.061	0.053
0.036	0.037
0.041	0.041
0.029	0.030
0.048	0.049
0.045	0.044
0.049	0.051
0.038	0.038
0.050	0.052
0.056	0.051
0.056	0.053
0.023	0.023
0.040	0.046
0.031	0.043
0.015	0.019
0.045	0.047
0.022	0.025
0.067	0.062
0.055	0.059
0.062	0.064
0.051	0.048
0.040	0.042
0.052	0.055
0.059	0.055
0.066	0.071
0.070	0.064
0.061	0.071
0.059	0.055
0.048	0.045
0.057	0.056
0.054	0.058
0.058	0.057
0.068	0.066
0.042	0.044
0.064	0.058
0.055	0.056
0.050	0.046
0.025	0.027
0.040	0.037
0.041	0.042
0.043	0.039
0.040	0.033
0.052	0.047
0.041	0.041
0.037	0.035
0.038	0.036
0.062	0.056
0.038	0.037
0.036	0.034
0.044	0.043
0.031	0.028
0.045	0.044
0.035	0.034
0.030	0.026
0.026	0.022
0.047	0.048
0.065	0.045
0.055	0.049
0.049	0.049
0.045	0.039
0.044	0.042
0.050	0.045
0.059	0.058
0.055	0.056
0.050	0.053
0.048	0.046
0.040	0.047
0.031	0.029
0.051	0.053
0.042	0.038
0.066	0.070
0.052	0.048
0.047	0.046
0.046	0.047
0.043	0.041
0.042	0.044
0.053	0.052
0.052	0.046
0.045	0.044
0.055	0.055
0.037	0.038
0.065	0.066
0.037	0.039
0.048	0.049
0.037	0.034
0.044	0.044
0.052	0.054
0.051	0.048
0.026	0.023
0.066	0.064
0.046	0.045
0.058	0.057
0.043	0.042
0.048	0.044
0.056	0.066
0.051	0.050
0.029	0.029
0.029	0.028
0.028	0.026
0.019	0.024
0.038	0.040
0.036	0.035
0.040	0.042
0.028	0.027
0.036	0.032
0.046	0.043
0.053	0.053
0.044	0.038
0.029	0.033
0.027	0.028
0.036	0.034
0.020	0.019
0.031	0.030
0.011	0.011
0.009	0.012
0.020	0.018
0.038	0.033
0.047	0.041
0.019	0.018
0.048	0.043
0.030	0.022
0.014	0.014
0.049	0.049
0.050	0.050
0.047	0.041
0.051	0.053
0.041	0.040
0.050	0.050
0.053	0.058
0.055	0.053
0.045	0.044
0.025	0.030
0.034	0.035
0.043	0.041
0.031	0.031
0.053	0.053
0.046	0.044
0.033	0.040
0.035	0.028
0.053	0.054
0.028	0.031
0.036	0.040
0.043	0.044
0.048	0.049
0.028	0.029
0.040	0.040
0.047	0.052
0.050	0.051
0.031	0.031
0.023	0.021
0.050	0.055
0.037	0.039
0.015	0.016
0.043	0.045
0.048	0.053
0.061	0.061
0.033	0.038
0.039	0.043
0.036	0.036
0.038	0.037
0.038	0.042
0.032	0.035
0.034	0.035
0.034	0.033
0.028	0.030
0.046	0.046
0.046	0.053
0.016	0.015
0.053	0.059
0.045	0.046
0.051	0.047
0.057	0.048
0.063	0.065
0.043	0.044
0.037	0.034
0.050	0.047
0.050	0.052
0.042	0.042
0.061	0.053
0.040	0.042
0.032	0.029
0.025	0.028
0.050	0.053
0.031	0.031
0.036	0.036
0.042	0.041
0.042	0.033
0.044	0.045
0.045	0.045
0.044	0.043
0.047	0.052
0.035	0.038
0.044	0.046
0.047	0.050
0.027	0.031
0.019	0.017
0.013	0.013
0.033	0.034
0.047	0.048
0.044	0.045
0.048	0.043
0.047	0.038
0.036	0.036
0.032	0.032
0.040	0.038
0.050	0.051
0.046	0.045
0.040	0.035
0.037	0.044
0.035	0.036
0.050	0.043
0.038	0.036
0.030	0.031
0.044	0.041
0.050	0.049
0.047	0.047
0.055	0.050
0.054	0.053
0.038	0.039
0.033	0.030
0.044	0.041
0.039	0.039
0.037	0.036
0.044	0.041
0.057	0.057
0.053	0.051
0.034	0.036
0.058	0.063
0.063	0.068
0.031	0.033
0.059	0.047
0.015	0.017
0.041	0.049
0.053	0.048
0.068	0.044
0.041	0.041
0.030	0.030
0.030	0.035
0.029	0.032
0.050	0.050
0.036	0.037
0.028	0.026
0.044	0.046
0.026	0.027
0.016	0.021
0.033	0.033
0.013	0.012
0.035	0.035
0.031	0.032
0.030	0.037
0.037	0.045
0.046	0.048
0.029	0.028
0.047	0.047
0.059	0.049
0.068	0.064
0.054	0.055
0.038	0.042
0.049	0.054
0.039	0.042
0.055	0.052
0.058	0.058
0.046	0.045
0.043	0.039
0.042	0.039
0.055	0.050
0.054	0.057
0.041	0.042
0.047	0.039
0.055	0.055
0.063	0.063
0.063	0.063
0.068	0.062
0.041	0.045
0.055	0.052
0.050	0.048
0.033	0.031
0.031	0.033
0.035	0.042
0.028	0.022
0.025	0.025
0.033	0.029
0.025	0.024
0.028	0.030
0.028	0.027
0.036	0.030
0.025	0.023
0.021	0.021
0.034	0.030
0.033	0.032
0.035	0.035
0.030	0.024
0.029	0.025
0.040	0.041
0.031	0.035
0.035	0.030
0.023	0.022
0.030	0.034
0.044	0.042
0.038	0.038
0.027	0.024
0.045	0.039
0.051	0.048
0.050	0.048
0.037	0.034
0.051	0.049
0.043	0.039
0.044	0.042
0.038	0.035
0.038	0.029
0.032	0.030
0.050	0.052
0.057	0.051
0.029	0.030
0.055	0.060
0.053	0.048
0.053	0.049
0.047	0.049
0.052	0.050
0.056	0.056
0.046	0.043
0.053	0.062
0.050	0.049
0.067	0.063
0.053	0.051
0.060	0.060
0.048	0.046
0.051	0.047
0.044	0.043
0.044	0.040
0.051	0.057
0.047	0.048
0.054	0.052
0.047	0.047
0.026	0.027
0.060	0.058
0.037	0.038
0.052	0.051
0.024	0.026
0.046	0.051
0.034	0.035
0.052	0.055
0.033	0.034
0.046	0.047
0.053	0.053
0.053	0.054
0.032	0.032
0.055	0.053
0.059	0.066
0.047	0.053
0.045	0.049
0.056	0.057
0.044	0.040
0.036	0.041
0.047	0.048
0.051	0.051
0.051	0.050
0.049	0.044
0.045	0.047
0.037	0.038
0.023	0.020
0.057	0.055
0.036	0.034
0.019	0.020
0.045	0.045
0.050	0.044
0.061	0.056
0.042	0.048
0.048	0.050
0.043	0.046
0.046	0.047
0.030	0.032
0.048	0.048
0.044	0.041
0.041	0.045
0.058	0.060
0.054	0.060
0.051	0.054
0.047	0.050
0.042	0.045
0.054	0.051
0.043	0.043
0.052	0.051
0.039	0.043
0.059	0.058
0.028	0.037
0.060	0.061
0.053	0.057
0.065	0.061
0.046	0.059
0.049	0.051
0.034	0.041
0.049	0.047
0.048	0.049
0.036	0.034
0.057	0.061
0.067	0.066
0.042	0.045
0.048	0.054
0.063	0.056
0.037	0.042
0.047	0.050
0.038	0.038
0.053	0.052
0.055	0.055
0.011	0.014
0.061	0.061
0.062	0.060
0.058	0.054
0.060	0.059
0.042	0.037
0.029	0.024
0.038	0.029
0.053	0.048
0.016	0.014
0.037	0.032
0.050	0.041
0.049	0.047
0.037	0.034
0.053	0.056
0.038	0.032
0.051	0.043
0.041	0.037
0.052	0.049
0.051	0.064
0.037	0.037
0.052	0.052
0.051	0.052
0.045	0.045
0.050	0.046
0.049	0.050
0.047	0.043
0.048	0.046
0.050	0.054
0.052	0.050
0.035	0.041
0.057	0.061
0.033	0.038
0.052	0.052
0.028	0.030
0.030	0.032
0.019	0.021
0.037	0.036
0.061	0.063
0.039	0.039
0.065	0.076
0.053	0.049
0.048	0.047
0.056	0.047
0.063	0.062
0.041	0.042
0.064	0.063
0.046	0.044
0.050	0.049
0.052	0.038
0.048	0.039
0.051	0.049
0.061	0.049
0.061	0.038
0.044	0.032
0.047	0.037
0.044	0.034
0.055	0.022
0.067	0.049
0.064	0.038
0.055	0.039
0.028	0.026
0.062	0.068
0.048	0.040
0.050	0.050
0.042	0.039
0.047	0.047
0.048	0.043
0.027	0.025
0.042	0.043
0.046	0.046
0.047	0.043
0.055	0.052
0.055	0.045
0.059	0.056
0.047	0.037
0.054	0.054
0.053	0.052
0.047	0.047
0.033	0.034
0.047	0.045
0.062	0.063
0.053	0.051
0.040	0.036
0.045	0.046
0.040	0.043
0.058	0.054
0.036	0.039
0.054	0.055
0.026	0.028
0.041	0.042
0.023	0.024
0.012	0.010
0.046	0.045
0.029	0.032
0.051	0.046
0.044	0.041
0.031	0.031
0.051	0.043
0.051	0.048
0.031	0.029
0.035	0.037
0.033	0.033
0.035	0.039
0.045	0.052
0.032	0.033
0.043	0.044
0.036	0.038
0.012	0.013
0.050	0.054
0.042	0.045
0.036	0.038
0.035	0.035
0.017	0.020
0.043	0.049
0.030	0.030
0.045	0.052
0.027	0.030
0.039	0.041
0.045	0.040
0.050	0.053
0.026	0.025
0.045	0.052
0.044	0.046
0.047	0.045
0.050	0.050
0.026	0.029
0.055	0.052
0.028	0.031
0.054	0.053
0.031	0.036
0.039	0.039
0.017	0.018
0.065	0.057
0.030	0.026
0.043	0.038
0.007	0.009
0.040	0.040
0.044	0.045
0.047	0.052
0.030	0.035
0.047	0.049
0.044	0.048
0.050	0.055
0.041	0.043
0.047	0.050
0.032	0.032
0.047	0.044
0.052	0.053
0.037	0.046
0.043	0.039
0.051	0.055
0.034	0.031
0.055	0.051
0.059	0.049
0.062	0.054
0.037	0.034
0.031	0.025
0.049	0.043
0.050	0.053
0.032	0.028
0.047	0.057
0.044	0.047
0.045	0.040
0.041	0.041
0.053	0.049
0.047	0.044
0.039	0.034
0.034	0.036
0.029	0.032
0.048	0.047
0.048	0.047
0.045	0.044
0.037	0.034
0.043	0.043
0.054	0.054
0.021	0.020
0.049	0.046
0.039	0.041
0.045	0.041
0.033	0.028
0.057	0.051
0.046	0.045
0.055	0.052
0.041	0.038
0.057	0.056
0.049	0.046
0.052	0.055
0.063	0.058
0.060	0.053
0.048	0.039
0.054	0.056
0.033	0.030
0.067	0.063
0.047	0.042
0.046	0.045
0.031	0.041
0.040	0.040
0.068	0.061
0.019	0.018
0.060	0.055
0.042	0.040
0.041	0.037
0.069	0.057
0.037	0.034
0.057	0.057
0.043	0.042
0.058	0.055
0.034	0.047
-0.014	0.032
-0.022	0.026
-0.036	0.016
-0.033	0.013
-0.034	0.017
-0.026	0.028
-0.029	0.025
-0.039	0.004
-0.040	0.006
-0.035	0.016
-0.030	0.015
-0.011	0.032
0.061	0.057
0.031	0.035
0.043	0.048
0.045	0.049
0.051	0.060
0.064	0.062
0.068	0.070
0.059	0.059
0.051	0.055
0.053	0.056
0.034	0.038
0.036	0.035
0.044	0.041
0.058	0.057
0.020	0.023
0.036	0.043
0.045	0.044
0.045	0.044
0.052	0.051
0.052	0.053
0.053	0.059
0.064	0.072
0.044	0.060
0.036	0.034
0.048	0.057
0.068	0.067
0.035	0.035
0.036	0.040
0.042	0.045
0.034	0.032
0.037	0.033
0.029	0.032
0.036	0.038
0.038	0.035
0.040	0.040
0.047	0.046
0.034	0.036
0.029	0.028
0.038	0.029
0.041	0.032
0.047	0.045
0.052	0.053
0.021	0.020
0.044	0.038
0.033	0.032
0.035	0.035
0.045	0.039
0.029	0.035
0.030	0.033
0.037	0.035
0.032	0.030
0.047	0.042
0.047	0.052
0.045	0.046
0.051	0.055
0.029	0.030
0.056	0.062
0.052	0.052
0.058	0.056
0.039	0.053
0.014	0.018
0.036	0.034
0.020	0.024
0.027	0.030
0.022	0.027
0.025	0.028
0.039	0.044
0.042	0.041
0.050	0.053
0.041	0.041
0.045	0.049
0.058	0.060
0.048	0.046
0.045	0.049
0.056	0.059
0.023	0.023
0.035	0.037
0.020	0.018
0.016	0.017
0.036	0.035
0.053	0.050
0.038	0.038
0.042	0.042
0.057	0.060
0.057	0.053
0.043	0.041
0.020	0.017
0.046	0.048
