COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.043	0.041
0.066	0.070
0.047	0.043
0.049	0.047
0.050	0.047
0.045	0.043
0.042	0.044
0.051	0.050
0.051	0.043
0.045	0.044
0.053	0.053
0.041	0.040
0.067	0.062
0.042	0.043
0.041	0.041
0.042	0.039
0.041	0.041
0.055	0.059
0.052	0.050
0.033	0.029
0.067	0.065
0.041	0.041
0.058	0.057
0.029	0.028
0.048	0.043
0.056	0.066
0.051	0.050
0.028	0.028
0.037	0.036
0.026	0.023
0.026	0.028
0.039	0.040
0.033	0.030
0.038	0.038
0.036	0.035
0.032	0.029
0.044	0.042
0.045	0.045
0.037	0.035
0.028	0.032
0.020	0.019
0.040	0.039
0.022	0.022
0.029	0.027
0.017	0.015
0.012	0.015
0.024	0.022
0.038	0.032
0.031	0.026
0.013	0.008
0.030	0.027
0.030	0.022
0.021	0.021
0.035	0.039
0.042	0.043
0.046	0.041
0.053	0.053
0.037	0.038
0.052	0.052
0.051	0.059
0.052	0.055
0.042	0.045
0.029	0.040
0.022	0.023
0.044	0.042
0.032	0.033
0.053	0.053
0.038	0.038
0.032	0.036
0.033	0.026
0.054	0.055
0.032	0.033
0.027	0.037
0.040	0.042
0.047	0.048
0.032	0.033
0.041	0.040
0.047	0.051
0.045	0.046
0.025	0.026
0.022	0.020
0.045	0.047
0.032	0.033
0.019	0.021
0.040	0.043
0.043	0.046
0.056	0.055
0.034	0.039
0.037	0.039
0.038	0.039
0.035	0.037
0.040	0.045
0.024	0.027
0.043	0.044
0.028	0.028
0.025	0.027
0.047	0.048
0.046	0.049
0.023	0.022
0.048	0.052
0.035	0.037
0.051	0.047
0.052	0.048
0.063	0.064
0.042	0.043
0.031	0.030
0.050	0.046
0.050	0.052
0.036	0.032
0.064	0.054
0.037	0.037
0.015	0.015
0.027	0.029
0.048	0.050
0.025	0.026
0.037	0.037
0.043	0.042
0.032	0.029
0.042	0.042
0.045	0.046
0.047	0.047
0.048	0.052
0.037	0.037
0.036	0.039
0.033	0.033
0.018	0.020
0.008	0.007
0.013	0.013
0.029	0.029
0.046	0.044
0.045	0.044
0.049	0.043
0.046	0.039
0.036	0.035
0.024	0.022
0.030	0.028
0.034	0.032
0.048	0.047
0.041	0.037
0.035	0.040
0.034	0.034
0.047	0.039
0.037	0.035
0.036	0.037
0.043	0.040
0.046	0.042
0.048	0.048
0.049	0.048
0.054	0.053
0.038	0.039
0.025	0.027
0.044	0.043
0.040	0.039
0.036	0.035
0.036	0.033
0.054	0.056
0.052	0.051
0.036	0.038
0.059	0.068
0.063	0.066
0.022	0.026
0.049	0.044
0.018	0.019
0.041	0.049
0.039	0.032
0.059	0.044
0.040	0.039
0.026	0.028
0.036	0.037
0.029	0.032
0.048	0.046
0.033	0.034
0.023	0.021
0.057	0.066
0.013	0.014
0.024	0.029
0.043	0.040
0.011	0.011
0.036	0.035
0.025	0.022
0.045	0.034
0.037	0.045
0.045	0.050
0.031	0.031
0.043	0.043
0.062	0.051
0.065	0.062
0.050	0.049
0.046	0.046
0.037	0.035
0.041	0.037
0.050	0.049
0.058	0.058
0.046	0.045
0.039	0.037
0.038	0.035
0.050	0.045
0.056	0.056
0.036	0.036
0.046	0.039
0.054	0.051
0.061	0.060
0.065	0.063
0.068	0.062
0.036	0.038
0.055	0.051
0.040	0.037
0.021	0.022
0.031	0.033
0.033	0.040
0.025	0.019
0.022	0.021
0.033	0.028
0.024	0.027
0.030	0.028
0.024	0.029
0.028	0.035
0.020	0.015
0.020	0.019
0.034	0.030
0.025	0.023
0.033	0.031
0.041	0.033
0.024	0.021
0.035	0.036
0.029	0.034
0.033	0.030
0.016	0.016
0.032	0.033
0.043	0.043
0.039	0.039
0.013	0.017
0.045	0.038
0.041	0.042
0.047	0.050
0.036	0.034
0.039	0.037
0.037	0.031
0.039	0.037
0.038	0.035
0.037	0.029
0.032	0.030
0.048	0.047
0.054	0.047
0.035	0.036
0.054	0.049
0.053	0.047
0.054	0.050
0.044	0.046
0.053	0.050
0.050	0.049
0.045	0.042
0.053	0.062
0.048	0.048
0.064	0.064
0.053	0.048
0.062	0.061
0.048	0.045
0.048	0.046
0.040	0.036
0.044	0.040
0.051	0.057
0.042	0.041
0.050	0.047
0.041	0.040
0.019	0.020
0.055	0.055
0.040	0.042
0.030	0.028
0.025	0.026
0.046	0.047
0.042	0.043
0.050	0.050
0.031	0.032
0.047	0.047
0.054	0.051
0.052	0.050
0.032	0.028
0.054	0.052
0.055	0.057
0.044	0.046
0.045	0.049
0.054	0.056
0.047	0.043
0.043	0.049
0.047	0.046
0.052	0.053
0.051	0.050
0.048	0.044
0.043	0.043
0.037	0.037
0.024	0.021
0.057	0.054
0.037	0.034
0.028	0.029
0.043	0.044
0.045	0.040
0.061	0.054
0.041	0.045
0.047	0.049
0.044	0.049
0.047	0.048
0.030	0.033
0.046	0.050
0.049	0.045
0.035	0.038
0.057	0.059
0.053	0.060
0.051	0.053
0.042	0.043
0.040	0.044
0.053	0.052
0.041	0.042
0.049	0.049
0.022	0.028
0.055	0.057
0.026	0.036
0.058	0.060
0.043	0.044
0.065	0.061
0.044	0.056
0.044	0.046
0.033	0.042
0.046	0.046
0.046	0.047
0.031	0.032
0.056	0.057
0.067	0.066
0.042	0.045
0.049	0.057
0.053	0.056
0.032	0.035
0.046	0.049
0.039	0.035
0.055	0.056
0.055	0.055
0.014	0.017
0.054	0.057
0.061	0.060
0.048	0.048
0.060	0.059
0.042	0.038
0.031	0.025
0.028	0.023
0.053	0.048
0.016	0.014
0.037	0.029
0.049	0.039
0.044	0.041
0.037	0.034
0.034	0.033
0.025	0.020
0.049	0.043
0.037	0.034
0.051	0.048
0.045	0.055
0.040	0.040
0.053	0.056
0.047	0.046
0.041	0.043
0.048	0.046
0.037	0.035
0.047	0.043
0.047	0.047
0.052	0.054
0.051	0.048
0.035	0.038
0.058	0.058
0.031	0.032
0.051	0.056
0.028	0.028
0.032	0.032
0.020	0.021
0.042	0.042
0.061	0.063
0.032	0.030
0.063	0.063
0.053	0.049
0.051	0.048
0.056	0.047
0.067	0.065
0.036	0.036
0.064	0.066
0.044	0.043
0.049	0.049
0.051	0.038
0.047	0.040
0.051	0.048
0.062	0.048
0.061	0.038
0.045	0.032
0.046	0.037
0.039	0.030
0.043	0.017
0.062	0.045
0.061	0.037
0.053	0.039
0.031	0.026
0.062	0.068
0.048	0.040
0.048	0.049
0.041	0.038
0.048	0.045
0.035	0.030
0.041	0.038
0.047	0.048
0.045	0.045
0.068	0.055
0.054	0.055
0.053	0.044
0.059	0.056
0.047	0.037
0.058	0.054
0.051	0.050
0.047	0.049
0.039	0.038
0.048	0.045
0.064	0.065
0.055	0.053
0.039	0.035
0.046	0.054
0.041	0.043
0.054	0.052
0.036	0.039
0.049	0.050
0.029	0.030
0.041	0.043
0.031	0.029
0.027	0.023
0.046	0.044
0.027	0.026
0.050	0.046
0.044	0.041
0.034	0.033
0.050	0.045
0.060	0.060
0.024	0.021
0.044	0.046
0.025	0.023
0.033	0.035
0.043	0.050
0.032	0.034
0.043	0.045
0.036	0.038
0.019	0.022
0.047	0.052
0.042	0.045
0.031	0.033
0.034	0.034
0.014	0.017
0.043	0.048
0.031	0.030
0.054	0.059
0.021	0.021
0.040	0.041
0.034	0.033
0.047	0.050
0.023	0.025
0.036	0.039
0.046	0.047
0.050	0.042
0.048	0.049
0.023	0.026
0.050	0.048
0.025	0.027
0.042	0.044
0.016	0.016
0.048	0.048
0.020	0.021
0.071	0.057
0.026	0.024
0.047	0.040
0.007	0.007
0.043	0.037
0.030	0.035
0.043	0.049
0.031	0.032
0.047	0.048
0.041	0.045
0.041	0.048
0.045	0.046
0.046	0.048
0.033	0.033
0.046	0.044
0.051	0.052
0.046	0.046
0.031	0.031
0.056	0.059
0.041	0.041
0.055	0.051
0.058	0.049
0.063	0.055
0.034	0.031
0.030	0.026
0.049	0.042
0.051	0.055
0.042	0.039
0.047	0.057
0.042	0.041
0.038	0.034
0.039	0.033
0.056	0.050
0.048	0.043
0.033	0.027
0.037	0.039
0.030	0.030
0.055	0.053
0.047	0.047
0.046	0.045
0.039	0.035
0.042	0.041
0.056	0.056
0.032	0.032
0.048	0.045
0.038	0.038
0.040	0.039
0.026	0.022
0.035	0.035
0.046	0.047
0.055	0.052
0.041	0.038
0.045	0.045
0.049	0.051
0.049	0.053
0.057	0.056
0.060	0.054
0.044	0.043
0.055	0.057
0.036	0.032
0.060	0.058
0.047	0.041
0.043	0.044
0.038	0.034
0.039	0.040
0.056	0.057
0.020	0.021
0.050	0.048
0.038	0.037
0.042	0.039
0.064	0.056
0.037	0.034
0.055	0.060
0.039	0.035
0.058	0.055
0.045	0.052
-0.015	0.028
-0.023	0.027
-0.036	0.016
-0.034	0.012
-0.036	0.010
-0.028	0.023
-0.030	0.020
-0.037	0.008
-0.040	0.004
-0.036	0.015
-0.033	0.012
-0.014	0.032
0.058	0.053
0.036	0.039
0.044	0.049
0.046	0.048
0.050	0.053
0.060	0.059
0.063	0.064
0.059	0.059
0.050	0.055
0.049	0.053
0.022	0.023
0.037	0.035
0.041	0.037
0.055	0.053
0.021	0.024
0.030	0.038
0.047	0.047
0.045	0.044
0.051	0.046
0.051	0.053
0.053	0.058
0.065	0.063
0.049	0.050
0.048	0.051
0.041	0.045
0.062	0.063
0.032	0.031
0.018	0.019
0.041	0.046
0.033	0.031
0.039	0.035
0.028	0.029
0.033	0.034
0.032	0.031
0.039	0.037
0.044	0.044
0.025	0.028
0.029	0.028
0.028	0.023
0.042	0.034
0.033	0.033
0.051	0.053
0.022	0.021
0.044	0.039
0.032	0.031
0.033	0.031
0.052	0.041
0.031	0.036
0.014	0.014
0.035	0.033
0.031	0.029
0.047	0.049
0.047	0.051
0.042	0.046
0.044	0.048
0.023	0.025
0.055	0.060
0.043	0.044
0.059	0.051
0.035	0.047
0.023	0.028
0.023	0.025
0.010	0.014
0.024	0.027
0.010	0.017
0.023	0.027
0.049	0.054
0.044	0.044
0.050	0.052
0.037	0.040
0.038	0.041
0.059	0.061
0.049	0.047
0.046	0.047
0.054	0.057
0.037	0.034
0.031	0.033
0.022	0.020
0.019	0.021
0.036	0.035
0.049	0.047
0.032	0.030
0.044	0.043
0.055	0.055
0.048	0.044
0.043	0.041
0.021	0.017
0.049	0.048
