BLEURT-20_ref_A	BLEURT-20_ref_B
0.83	0.84
0.78	0.77
0.72	0.71
0.80	0.73
0.46	0.38
0.56	0.60
0.38	0.38
0.44	0.43
0.78	0.70
0.62	0.59
0.80	0.65
0.40	0.41
0.51	0.44
0.59	0.57
0.57	0.51
0.66	0.55
0.54	0.45
0.63	0.75
0.62	0.64
0.37	0.45
0.39	0.38
0.72	0.66
0.35	0.46
0.54	0.70
0.55	0.54
0.38	0.56
0.40	0.43
0.70	0.76
0.77	0.78
0.80	0.86
0.81	0.84
0.81	0.86
0.84	0.80
0.83	0.81
0.43	0.64
0.59	0.55
0.89	0.97
0.91	0.80
0.66	0.86
0.78	0.90
0.47	0.53
0.81	0.77
0.91	0.82
0.72	0.75
0.86	0.86
0.81	0.76
0.92	0.95
0.62	0.53
0.96	0.96
0.81	0.83
0.93	0.91
0.75	0.78
0.50	0.55
0.59	0.57
0.71	0.59
0.44	0.40
0.61	0.60
0.70	0.73
0.64	0.60
0.82	0.74
0.79	0.71
0.81	0.73
0.65	0.45
0.47	0.51
0.43	0.43
0.67	0.70
0.62	0.51
0.58	0.50
0.75	0.69
0.83	0.82
0.69	0.69
0.81	0.72
0.66	0.64
0.74	0.71
0.60	0.70
0.32	0.44
0.80	0.81
0.68	0.63
0.75	0.67
0.64	0.54
0.67	0.62
0.67	0.63
0.62	0.71
0.82	0.81
0.86	0.79
0.70	0.85
0.83	0.76
0.79	0.72
0.89	0.85
0.70	0.63
0.73	0.67
0.60	0.66
0.75	0.76
0.72	0.75
0.57	0.58
0.69	0.76
0.82	0.88
0.83	0.78
0.85	0.83
0.44	0.43
0.62	0.78
0.72	0.86
0.59	0.68
0.77	0.77
0.68	0.74
1.01	0.94
0.80	0.87
0.88	0.90
0.91	0.81
0.71	0.78
0.77	0.77
0.83	0.82
0.85	0.92
0.95	0.91
0.85	0.99
0.91	0.92
0.74	0.69
0.84	0.82
0.67	0.69
0.75	0.74
0.90	0.88
0.62	0.64
0.93	0.89
0.89	0.96
0.74	0.77
0.61	0.73
0.72	0.63
0.71	0.70
0.82	0.78
0.81	0.60
0.92	0.80
0.68	0.70
0.79	0.75
0.73	0.71
0.76	0.80
0.60	0.61
0.78	0.69
0.70	0.68
0.78	0.66
0.79	0.74
0.64	0.62
0.69	0.61
0.55	0.58
0.74	0.75
0.97	0.73
0.89	0.83
0.73	0.70
0.84	0.71
0.79	0.77
0.77	0.70
0.87	0.78
0.84	0.83
0.80	0.81
0.75	0.74
0.76	0.82
0.48	0.49
0.80	0.82
0.68	0.67
0.89	0.89
0.80	0.77
0.77	0.75
0.71	0.70
0.65	0.67
0.76	0.75
0.83	0.80
0.89	0.71
0.83	0.81
0.83	0.82
0.78	0.80
0.85	0.88
0.39	0.48
0.81	0.79
0.67	0.65
0.67	0.66
0.81	0.79
0.78	0.73
0.71	0.62
0.90	0.87
0.70	0.71
0.87	0.86
0.70	0.69
0.80	0.80
0.70	0.92
0.80	0.77
0.65	0.69
0.70	0.56
0.71	0.64
0.55	0.52
0.71	0.74
0.64	0.61
0.77	0.82
0.58	0.54
0.68	0.55
0.76	0.81
0.86	0.84
0.76	0.69
0.46	0.54
0.57	0.60
0.61	0.60
0.53	0.52
0.64	0.55
0.49	0.51
0.62	0.59
0.46	0.50
0.70	0.64
0.67	0.53
0.67	0.62
0.84	0.79
0.70	0.49
0.66	0.61
0.76	0.87
0.80	0.86
0.76	0.78
0.78	0.77
0.87	0.83
0.81	0.82
0.78	0.82
0.82	0.82
0.81	0.83
0.64	0.76
0.63	0.62
0.63	0.58
0.67	0.76
0.82	0.81
0.69	0.71
0.56	0.66
0.57	0.46
0.85	0.89
0.61	0.74
0.71	0.63
0.81	0.81
0.77	0.79
0.76	0.78
0.75	0.74
0.82	0.83
0.81	0.83
0.71	0.69
0.46	0.46
0.69	0.86
0.74	0.79
0.69	0.70
0.75	0.81
0.74	0.82
0.89	0.86
0.69	0.78
0.72	0.82
0.52	0.59
0.75	0.77
0.75	0.83
0.66	0.70
0.76	0.81
0.75	0.73
0.64	0.72
0.81	0.85
0.72	0.73
0.67	0.69
0.83	0.88
0.65	0.62
0.80	0.76
0.84	0.76
0.84	0.79
0.63	0.65
0.64	0.57
0.78	0.73
0.79	0.83
0.50	0.62
0.87	0.78
0.69	0.72
0.71	0.67
0.63	0.69
0.73	0.75
0.69	0.78
0.76	0.75
0.75	0.80
0.78	0.74
0.79	0.82
0.81	0.81
0.71	0.76
0.73	0.85
0.58	0.63
0.71	0.75
0.62	0.73
0.59	0.65
0.61	0.45
0.38	0.41
0.60	0.67
0.76	0.77
0.80	0.78
0.87	0.78
0.81	0.59
0.63	0.63
0.50	0.49
0.75	0.70
0.75	0.78
0.76	0.78
0.68	0.70
0.62	0.78
0.72	0.79
0.87	0.70
0.70	0.71
0.61	0.63
0.69	0.64
0.75	0.62
0.72	0.73
0.85	0.81
0.82	0.82
0.76	0.79
0.72	0.51
0.73	0.67
0.84	0.72
0.66	0.64
0.71	0.61
0.84	0.85
0.75	0.73
0.74	0.80
0.87	0.90
0.88	0.90
0.51	0.60
0.96	0.84
0.42	0.47
0.75	0.78
0.95	0.80
0.88	0.69
0.76	0.72
0.70	0.70
0.63	0.70
0.38	0.51
0.83	0.82
0.79	0.75
0.65	0.67
0.77	0.87
0.51	0.62
0.52	0.53
0.64	0.63
0.53	0.41
0.66	0.71
0.56	0.44
0.51	0.84
0.84	0.83
0.77	0.77
0.65	0.48
0.72	0.75
0.84	0.72
0.92	0.85
0.85	0.83
0.83	0.82
0.68	0.69
0.70	0.78
0.88	0.84
0.86	0.84
0.85	0.85
0.92	0.83
0.70	0.68
0.79	0.73
0.80	0.83
0.74	0.69
0.81	0.77
0.76	0.72
0.82	0.82
0.87	0.78
0.89	0.85
0.64	0.65
0.81	0.71
0.78	0.66
0.74	0.63
0.65	0.68
0.64	0.86
0.74	0.55
0.55	0.56
0.77	0.67
0.65	0.57
0.62	0.62
0.57	0.44
0.73	0.67
0.51	0.44
0.65	0.52
0.81	0.77
0.57	0.66
0.77	0.55
0.62	0.62
0.76	0.64
0.80	0.84
0.68	0.77
0.77	0.73
0.59	0.58
0.49	0.62
0.86	0.84
0.68	0.79
0.72	0.76
0.84	0.79
0.81	0.81
0.84	0.84
0.60	0.64
0.73	0.54
0.75	0.56
0.85	0.78
0.82	0.75
0.76	0.62
0.74	0.51
0.79	0.80
0.86	0.72
0.79	0.74
0.81	0.89
0.82	0.75
0.87	0.76
0.63	0.57
0.82	0.81
0.81	0.79
0.71	0.76
0.85	0.89
0.75	0.79
0.91	0.79
0.84	0.80
0.84	0.84
0.80	0.76
0.79	0.71
0.72	0.71
0.71	0.51
0.89	0.96
0.78	0.76
0.83	0.63
0.77	0.79
0.66	0.64
0.88	0.86
0.65	0.58
0.72	0.75
0.72	0.71
0.81	0.80
0.80	0.80
0.76	0.79
0.73	0.68
0.85	0.82
0.87	0.85
0.79	0.79
0.75	0.66
0.85	0.89
0.86	0.98
0.81	0.86
0.82	0.85
0.88	0.88
0.89	0.77
0.70	0.70
0.69	0.70
0.83	0.80
0.75	0.69
0.82	0.76
0.74	0.77
0.76	0.68
0.55	0.39
0.90	0.82
0.74	0.66
0.65	0.61
0.75	0.73
0.84	0.78
0.94	0.79
0.66	0.73
0.75	0.82
0.74	0.78
0.79	0.82
0.71	0.60
0.68	0.67
0.66	0.56
0.71	0.82
0.81	0.79
0.72	0.77
0.74	0.78
0.74	0.72
0.69	0.77
0.76	0.75
0.77	0.79
0.85	0.88
0.54	0.70
0.82	0.82
0.43	0.59
0.83	0.87
0.70	0.82
0.85	0.85
0.46	0.91
0.77	0.84
0.57	0.79
0.77	0.78
0.69	0.77
0.80	0.81
0.82	0.89
0.91	0.88
0.85	0.84
0.78	0.77
0.84	0.82
0.81	0.88
0.81	0.84
0.79	0.81
0.89	0.85
0.88	0.88
0.74	0.81
0.79	0.83
0.83	0.84
0.80	0.78
0.84	0.82
0.81	0.65
0.66	0.63
0.83	0.65
0.82	0.72
0.66	0.50
0.80	0.71
0.83	0.59
0.84	0.79
0.74	0.72
0.89	0.87
0.74	0.61
0.85	0.64
0.82	0.64
0.85	0.76
0.92	0.99
0.68	0.74
0.88	0.87
0.81	0.83
0.63	0.68
0.85	0.84
0.75	0.80
0.84	0.75
0.86	0.84
0.80	0.81
0.84	0.77
0.75	0.75
0.88	0.94
0.67	0.81
0.82	0.84
0.77	0.76
0.75	0.76
0.65	0.66
0.78	0.78
0.82	0.90
0.73	0.80
0.81	0.91
0.80	0.76
0.82	0.82
0.86	0.67
0.82	0.81
0.72	0.73
0.82	0.85
0.76	0.80
0.86	0.85
0.80	0.46
0.73	0.29
0.78	0.51
0.81	0.35
0.85	0.13
0.77	0.25
0.61	0.22
0.56	0.19
0.95	0.03
0.83	0.30
0.85	0.13
0.81	0.19
0.81	0.64
0.86	0.93
0.86	0.74
0.81	0.77
0.73	0.71
0.74	0.69
0.68	0.68
0.78	0.68
0.77	0.77
0.86	0.83
0.88	0.66
0.83	0.82
0.81	0.76
0.86	0.81
0.78	0.76
0.74	0.77
0.84	0.84
0.84	0.74
0.79	0.75
0.78	0.68
0.84	0.83
0.87	0.82
0.74	0.71
0.75	0.83
0.77	0.81
0.86	0.83
0.75	0.76
0.84	0.84
0.68	0.72
0.65	0.68
0.71	0.60
0.53	0.63
0.71	0.72
0.81	0.81
0.85	0.73
0.78	0.68
0.78	0.71
0.85	0.80
0.77	0.74
0.57	0.50
0.68	0.70
0.55	0.70
0.67	0.79
0.70	0.70
0.66	0.69
0.75	0.74
0.78	0.83
0.71	0.75
0.77	0.84
0.75	0.80
0.73	0.78
0.77	0.78
0.69	0.75
0.80	0.83
0.63	0.49
0.72	0.82
0.59	0.61
0.59	0.76
0.85	0.76
0.80	0.88
0.68	0.62
0.84	1.00
0.84	0.88
0.77	0.69
0.86	0.83
0.70	0.74
0.81	0.77
0.75	0.81
0.83	0.86
0.69	0.76
0.78	0.78
0.70	0.72
0.98	0.83
0.49	0.46
0.82	0.77
0.52	0.44
0.82	0.80
0.72	0.65
0.78	0.72
0.65	0.72
0.80	0.81
0.73	0.75
0.80	0.87
0.78	0.77
0.74	0.77
0.54	0.54
0.71	0.73
0.76	0.80
0.77	0.92
0.76	0.61
0.81	0.80
0.74	0.69
0.86	0.83
0.87	0.75
0.85	0.82
0.59	0.54
0.52	0.45
0.80	0.73
0.85	0.86
0.72	0.72
0.69	0.87
0.82	0.83
0.77	0.48
0.74	0.65
0.80	0.74
0.75	0.68
0.69	0.65
0.59	0.66
0.59	0.66
0.83	0.78
0.78	0.80
0.75	0.70
0.77	0.70
0.44	0.42
0.71	0.66
0.73	0.74
0.74	0.74
0.67	0.65
0.69	0.69
0.77	0.75
0.90	0.76
0.67	0.70
0.80	0.73
0.77	0.71
0.86	0.83
0.84	0.79
0.83	0.86
0.85	0.77
0.84	0.74
0.77	0.66
0.77	0.85
0.69	0.61
0.88	0.81
0.87	0.74
0.75	0.78
0.45	0.70
0.75	0.77
0.82	0.65
0.78	0.75
0.88	0.85
0.83	0.79
0.72	0.57
1.00	0.78
0.88	0.82
0.89	0.81
0.80	0.66
0.86	0.79
0.36	0.78
-0.28	0.79
-0.45	0.72
-0.36	0.59
0.00	0.00
-0.36	0.66
-0.39	0.60
-0.47	0.71
0.00	0.00
-0.31	0.55
-0.29	0.59
0.00	0.00
-0.22	0.61
0.83	0.82
0.54	0.70
0.80	0.84
0.78	0.86
0.79	0.90
0.86	0.79
0.90	0.95
0.78	0.82
0.88	0.88
0.82	0.90
0.67	0.76
0.71	0.67
0.81	0.70
0.84	0.82
0.56	0.68
0.51	0.77
0.66	0.65
0.67	0.71
0.77	0.77
0.70	0.77
0.81	0.95
0.81	0.91
0.64	0.86
0.76	0.71
0.78	0.94
0.86	0.86
0.39	0.43
0.45	0.53
0.71	0.69
0.54	0.43
0.65	0.52
0.44	0.52
0.62	0.77
0.57	0.60
0.71	0.69
0.80	0.77
0.53	0.56
0.52	0.41
0.69	0.60
0.82	0.54
0.74	0.69
0.83	0.79
0.62	0.64
0.64	0.57
0.55	0.54
0.69	0.66
0.86	0.75
0.73	0.78
0.55	0.56
0.46	0.45
0.47	0.50
0.91	0.87
0.78	0.78
0.64	0.76
0.75	0.85
0.70	0.81
0.83	0.89
0.79	0.80
0.76	0.79
0.72	0.86
0.32	0.37
0.65	0.65
0.53	0.64
0.59	0.68
0.59	0.63
0.56	0.64
0.57	0.77
0.79	0.74
0.81	0.80
0.73	0.68
0.75	0.81
0.85	0.87
0.79	0.68
0.73	0.80
0.79	0.80
0.71	0.68
0.79	0.80
0.65	0.65
0.70	0.70
0.81	0.78
0.70	0.65
0.74	0.73
0.74	0.76
0.82	0.78
0.75	0.54
0.84	0.76
0.79	0.75
0.83	0.80
